iter	Passed	Remaining
0	3	3679
1	7	3796
2	9	3135
3	11	2754
4	12	2498
5	14	2336
6	15	2226
7	17	2128
8	18	2076
9	20	2029
10	22	1992
11	23	1954
12	25	1928
13	26	1897
14	28	1878
15	30	1864
16	31	1842
17	33	1822
18	35	1811
19	36	1802
20	38	1792
21	40	1784
22	41	1775
23	43	1765
24	45	1755
25	47	1769
26	49	1792
27	51	1803
28	53	1806
29	55	1805
30	57	1809
31	62	1880
32	64	1876
33	65	1872
34	67	1871
35	69	1872
36	71	1865
37	73	1857
38	75	1850
39	76	1841
40	78	1832
41	79	1824
42	81	1815
43	83	1809
44	84	1800
45	86	1792
46	89	1810
47	91	1810
48	93	1808
49	95	1807
50	97	1808
51	99	1806
52	101	1806
53	103	1806
54	105	1804
55	107	1811
56	109	1810
57	115	1870
58	117	1872
59	122	1921
60	127	1961
61	129	1966
62	134	2006
63	141	2071
64	145	2086
65	146	2079
66	149	2077
67	152	2091
68	156	2105
69	159	2123
70	162	2124
71	164	2118
72	167	2125
73	169	2120
74	175	2164
75	180	2195
76	183	2194
77	187	2211
78	189	2208
79	193	2228
80	196	2226
81	198	2218
82	200	2211
83	202	2203
84	203	2195
85	205	2188
86	207	2181
87	209	2173
88	211	2167
89	216	2184
90	218	2180
91	220	2173
92	223	2181
93	226	2184
94	229	2190
95	232	2192
96	234	2182
97	235	2171
98	237	2162
99	239	2152
100	241	2149
101	243	2141
102	244	2132
103	246	2124
104	248	2116
105	249	2108
106	251	2099
107	253	2091
108	254	2083
109	256	2075
110	258	2067
111	259	2059
112	261	2051
113	263	2044
114	264	2035
115	266	2028
116	267	2020
117	269	2012
118	270	2005
119	272	1998
120	274	1991
121	275	1984
122	277	1976
123	278	1969
124	280	1963
125	282	1956
126	283	1949
127	285	1942
128	286	1936
129	288	1931
130	290	1924
131	291	1918
132	293	1912
133	295	1907
134	296	1901
135	298	1895
136	299	1889
137	301	1883
138	303	1878
139	304	1872
140	306	1866
141	307	1860
142	309	1852
143	310	1847
